Date,TimeBarStart,Ticker,CallPut,Strike,ExpirationDate,OpenTradePrice,HighTradePrice,LowTradePrice,CloseTradePrice,UnderOpenBidPrice,UnderOpenAskPrice,UnderCloseBidPrice,UnderCloseAskPrice,VWAP,Volume,TotalTrades
20200129,09:30,AMZN,P,1400.0000,20200619,6.0000,6.0000,6.0000,6.0000,1863.95,1864.91,1863.95,1864.91,6.0000,1,1
20200129,09:30,AMZN,P,1800.0000,20200619,78.5000,78.5000,78.5000,78.5000,1863.95,1864.91,1863.95,1864.91,78.5000,1,1
20200129,09:30,AMZN,C,1900.0000,20200619,100.7000,102.2500,100.7000,102.2500,1863.95,1864.91,1864.12,1864.91,101.7333,3,2
20200129,09:31,AMZN,C,1900.0000,20200619,102.0000,102.0000,102.0000,102.0000,1863.86,1864.49,1863.86,1864.49,102.0000,2,1
20200129,09:32,AMZN,C,1900.0000,20200619,102.3000,102.3000,102.3000,102.3000,1864.80,1865.36,1864.80,1865.36,102.3000,1,1
20200129,09:33,AMZN,C,1900.0000,20200619,102.0000,102.3000,102.0000,102.3000,1864.21,1865.66,1864.60,1866.00,102.1500,2,2
20200129,09:34,AMZN,P,1695.0000,20200619,40.1500,40.1500,40.1500,40.1500,1871.09,1872.24,1871.09,1872.24,40.1500,1,1
20200129,09:34,AMZN,P,1850.0000,20200619,94.4000,94.4000,94.4000,94.4000,1871.85,1873.55,1871.85,1873.55,94.4000,1,1
20200129,09:34,AMZN,P,1945.0000,20200619,144.8500,144.8500,144.8500,144.8500,1872.01,1873.70,1872.01,1873.70,144.8500,7,1
20200129,09:34,AMZN,P,1740.0000,20200619,52.6000,52.6000,52.6000,52.6000,1871.09,1872.24,1871.09,1872.24,52.6000,1,1
20200129,09:34,AMZN,C,2500.0000,20200619,4.3900,4.3900,4.3900,4.3900,1869.56,1870.98,1869.56,1870.98,4.3900,40,1
20200129,09:34,AMZN,C,1970.0000,20200619,77.2500,77.2500,77.2500,77.2500,1872.35,1873.85,1872.35,1873.85,77.2500,1,1
20200129,09:35,AMZN,P,1520.0000,20200619,12.4000,12.4000,12.4000,12.4000,1871.36,1872.77,1871.36,1872.77,12.4000,3,1
20200129,09:35,AMZN,P,1420.0000,20200619,5.9800,5.9800,5.9800,5.9800,1871.02,1872.24,1871.02,1872.24,5.9800,10,2
20200129,09:35,AMZN,P,1400.0000,20200619,5.1800,5.1800,5.1800,5.1800,1871.02,1872.24,1871.02,1872.24,5.1800,10,2
20200129,09:35,AMZN,P,1800.0000,20200619,73.0000,73.0000,73.0000,73.0000,1872.39,1874.00,1872.39,1874.00,73.0000,1,1
20200129,09:35,AMZN,C,2000.0000,20200619,65.5000,65.5000,65.5000,65.5000,1871.36,1872.76,1871.36,1872.76,65.5000,1,1
20200129,09:35,AMZN,C,1900.0000,20200619,106.5800,107.0000,106.5800,107.0000,1872.39,1873.41,1872.39,1873.98,106.7200,3,3
20200129,09:35,AMZN,C,2600.0000,20200619,2.7000,2.7000,2.7000,2.7000,1872.54,1873.40,1872.54,1873.40,2.7000,10,1
20200129,09:36,AMZN,P,1280.0000,20200619,2.3100,2.3100,2.3100,2.3100,1872.40,1873.69,1872.40,1873.69,2.3100,8,1
20200129,09:36,AMZN,P,1240.0000,20200619,1.8900,1.8900,1.8900,1.8900,1872.40,1873.69,1872.40,1873.69,1.8900,8,1
20200129,09:36,AMZN,C,2080.0000,20200619,44.5000,44.5000,44.5000,44.5000,1872.85,1873.65,1872.85,1873.65,44.5000,1,1
20200129,09:36,AMZN,C,2050.0000,20200619,52.0000,52.0000,51.8300,51.8300,1872.85,1873.65,1871.76,1873.60,51.8583,6,2
20200129,09:36,AMZN,C,1905.0000,20200619,106.3000,106.3000,106.3000,106.3000,1871.76,1873.58,1871.76,1873.58,106.3000,3,1
20200129,09:36,AMZN,C,1895.0000,20200619,110.9000,110.9000,110.9000,110.9000,1871.76,1873.58,1871.76,1873.58,110.9000,3,1
20200129,09:36,AMZN,C,1870.0000,20200619,121.6800,121.6800,121.6800,121.6800,1872.57,1873.77,1872.57,1873.77,121.6800,5,2
