Date,TimeBarStart,Ticker,CallPut,Strike,ExpirationDate,OpenTradePrice,HighTradePrice,LowTradePrice,CloseTradePrice,UnderOpenBidPrice,UnderOpenAskPrice,UnderCloseBidPrice,UnderCloseAskPrice,VWAP,Volume,TotalTrades
20200129,09:30,AMZN,P,1540.0000,20200131,0.1300,0.1300,0.1300,0.1300,1863.50,1864.50,1863.50,1864.50,0.1300,1,1
20200129,09:30,AMZN,P,1787.5000,20200131,7.8000,8.6000,7.8000,8.6000,1862.22,1863.25,1859.98,1861.33,8.0667,3,2
20200129,09:30,AMZN,P,1535.0000,20200131,0.1300,0.1300,0.1300,0.1300,1863.50,1864.50,1863.50,1864.50,0.1300,1,1
20200129,09:30,AMZN,P,1760.0000,20200131,3.8900,4.3500,3.8900,4.3500,1862.22,1863.25,1863.00,1863.99,3.9457,14,5
20200129,09:30,AMZN,P,1730.0000,20200131,1.9500,1.9500,1.9500,1.9500,1862.22,1863.25,1862.22,1863.25,1.9500,2,1
20200129,09:30,AMZN,P,1762.5000,20200131,4.3600,4.3600,4.3600,4.3600,1860.38,1861.33,1860.38,1861.33,4.3600,1,1
20200129,09:30,AMZN,P,1755.0000,20200131,3.3300,3.3300,3.3300,3.3300,1864.50,1864.96,1864.50,1864.96,3.3300,2,1
20200129,09:30,AMZN,P,1860.0000,20200131,34.6000,34.6000,34.6000,34.6000,1862.22,1863.25,1862.22,1863.25,34.6000,5,1
20200129,09:30,AMZN,P,1747.5000,20200131,3.2500,3.2500,3.2500,3.2500,1862.22,1863.25,1862.22,1863.25,3.2500,1,1
20200129,09:30,AMZN,P,1780.0000,20200131,6.7700,6.7700,6.7700,6.7700,1862.22,1863.25,1862.22,1863.25,6.7700,20,2
20200129,09:30,AMZN,P,1720.0000,20200131,1.9500,1.9500,1.9500,1.9500,1862.22,1863.25,1862.22,1863.25,1.9500,1,1
20200129,09:30,AMZN,P,1855.0000,20200131,30.1500,30.1500,30.1500,30.1500,1863.61,1864.99,1863.61,1864.99,30.1500,1,1
20200129,09:30,AMZN,P,1740.0000,20200131,2.9800,2.9800,2.4800,2.7700,1862.22,1863.25,1860.81,1862.20,2.7110,21,4
20200129,09:30,AMZN,P,1775.0000,20200131,5.4900,5.4900,5.4900,5.4900,1863.61,1864.99,1863.61,1864.99,5.4900,1,1
20200129,09:30,AMZN,P,1797.5000,20200131,9.9600,9.9600,9.9600,9.9600,1863.00,1863.99,1863.00,1863.99,9.9600,1,1
20200129,09:30,AMZN,P,1832.5000,20200131,20.8500,20.8500,20.8500,20.8500,1862.22,1863.25,1862.22,1863.25,20.8500,2,1
20200129,09:30,AMZN,P,1770.0000,20200131,5.1500,5.1500,4.7000,4.7000,1862.22,1863.25,1863.00,1863.99,5.0000,3,2
20200129,09:30,AMZN,P,1800.0000,20200131,10.9000,10.9100,10.2900,10.9100,1862.22,1863.25,1863.00,1863.99,10.8059,17,6
20200129,09:30,AMZN,P,1530.0000,20200131,0.1200,0.1200,0.1200,0.1200,1863.00,1864.50,1863.00,1864.50,0.1200,1,1
20200129,09:30,AMZN,P,1795.0000,20200131,9.6500,9.6500,9.6500,9.6500,1862.22,1863.25,1862.22,1863.25,9.6500,3,1
20200129,09:30,AMZN,P,1625.0000,20200131,0.2900,0.2900,0.2900,0.2900,1861.11,1862.20,1861.11,1862.20,0.2900,1,1
20200129,09:30,AMZN,P,1400.0000,20200131,0.0500,0.0500,0.0500,0.0500,1863.50,1864.50,1863.66,1864.50,0.0500,2,2
20200129,09:30,AMZN,P,1510.0000,20200131,0.1100,0.1100,0.1100,0.1100,1863.50,1864.50,1863.50,1864.50,0.1100,1,1
20200129,09:30,AMZN,P,1525.0000,20200131,0.1100,0.1100,0.1100,0.1100,1863.50,1864.50,1863.50,1864.50,0.1100,1,1
20200129,09:30,AMZN,P,1600.0000,20200131,0.0100,0.0100,0.0100,0.0100,1862.00,1862.75,1861.56,1862.60,0.0100,10,4
20200129,09:30,AMZN,P,1670.0000,20200131,0.8000,0.8000,0.5000,0.5000,1862.22,1863.25,1861.28,1862.75,0.7500,6,2
20200129,09:30,AMZN,P,1640.0000,20200131,0.3700,0.3700,0.3700,0.3700,1861.01,1862.75,1861.01,1862.75,0.3700,1,1
20200129,09:30,AMZN,P,1810.0000,20200131,13.4000,13.4000,13.4000,13.4000,1862.22,1863.25,1862.22,1863.25,13.4000,1,1
20200129,09:30,AMZN,P,1850.0000,20200131,28.4000,29.3700,28.4000,29.3700,1863.00,1863.99,1860.83,1861.99,29.0467,3,2
20200129,09:30,AMZN,P,1765.0000,20200131,4.1200,4.1200,4.1200,4.1200,1863.61,1864.99,1863.61,1864.99,4.1200,1,1
20200129,09:30,AMZN,P,1697.5000,20200131,1.0000,1.0000,1.0000,1.0000,1860.83,1861.99,1860.83,1861.99,1.0000,1,1
20200129,09:30,AMZN,P,1700.0000,20200131,0.9900,0.9900,0.9900,0.9900,1864.35,1864.96,1864.35,1864.96,0.9900,1,1
20200129,09:30,AMZN,P,1732.5000,20200131,2.0200,2.0200,2.0200,2.0200,1863.00,1863.99,1863.00,1863.99,2.0200,1,1
20200129,09:30,AMZN,P,1742.5000,20200131,2.6600,2.6600,2.6600,2.6600,1862.22,1863.25,1862.22,1863.25,2.6600,5,1
20200129,09:30,AMZN,P,1750.0000,20200131,3.0100,3.0100,3.0100,3.0100,1862.00,1862.75,1861.56,1862.60,3.0100,10,4
20200129,09:30,AMZN,P,1515.0000,20200131,0.1100,0.1100,0.1100,0.1100,1863.50,1864.50,1863.50,1864.50,0.1100,1,1
20200129,09:30,AMZN,P,1835.0000,20200131,21.8000,22.4700,21.8000,22.4700,1862.22,1863.25,1864.07,1864.91,22.0233,3,2
20200129,09:30,AMZN,P,1857.5000,20200131,31.9900,31.9900,31.9900,31.9900,1863.00,1863.99,1863.00,1863.99,31.9900,1,1
20200129,09:30,AMZN,P,1820.0000,20200131,16.0000,16.0000,16.0000,16.0000,1862.22,1863.25,1862.22,1863.25,16.0000,1,1
20200129,09:30,AMZN,P,1705.0000,20200131,0.8900,0.8900,0.6500,0.6500,1864.12,1864.91,1864.12,1864.96,0.7780,15,3
20200129,09:30,AMZN,P,1785.0000,20200131,7.1800,7.1800,7.1800,7.1800,1864.07,1864.91,1864.07,1864.91,7.1800,2,1
20200129,09:30,AMZN,P,1617.5000,20200131,0.4300,0.4300,0.4300,0.4300,1864.12,1864.96,1864.12,1864.96,0.4300,1,1
20200129,09:30,AMZN,C,1997.5000,20200131,3.1600,3.1700,3.1600,3.1700,1859.97,1861.30,1859.97,1861.30,3.1667,3,2
20200129,09:30,AMZN,C,1927.5000,20200131,11.4000,11.4000,11.4000,11.4000,1862.22,1864.00,1862.22,1864.00,11.4000,1,1
20200129,09:30,AMZN,C,1910.0000,20200131,16.9500,17.3500,16.9500,16.9600,1862.22,1863.25,1864.07,1864.91,17.0217,6,3
20200129,09:30,AMZN,C,2300.0000,20200131,0.1400,0.1400,0.1000,0.1000,1862.28,1863.33,1860.83,1861.99,0.1200,2,2
20200129,09:30,AMZN,C,2100.0000,20200131,1.0800,1.0800,0.6900,0.6900,1862.22,1863.25,1862.22,1863.25,0.7550,6,2
20200129,09:30,AMZN,C,1840.0000,20200131,48.0000,48.0000,48.0000,48.0000,1864.12,1864.91,1864.12,1864.91,48.0000,1,1
20200129,09:30,AMZN,C,1860.0000,20200131,38.0000,38.0000,35.7500,35.7500,1863.06,1864.99,1860.20,1861.33,36.3125,4,2
20200129,09:30,AMZN,C,1950.0000,20200131,8.0700,8.0700,7.6000,7.6500,1863.61,1865.00,1861.03,1863.05,7.7733,3,3
20200129,09:30,AMZN,C,1835.0000,20200131,50.7000,50.7000,50.7000,50.7000,1862.22,1863.25,1862.22,1863.25,50.7000,3,1
20200129,09:30,AMZN,C,1750.0000,20200131,114.5000,114.5000,114.5000,114.5000,1860.20,1861.33,1860.20,1861.33,114.5000,1,1
20200129,09:30,AMZN,C,1985.0000,20200131,4.1000,4.1000,4.1000,4.1000,1864.12,1864.91,1864.12,1864.91,4.1000,1,1
20200129,09:30,AMZN,C,2080.0000,20200131,0.9900,0.9900,0.9200,0.9200,1862.22,1863.25,1860.21,1861.60,0.9836,11,2
20200129,09:30,AMZN,C,1965.0000,20200131,6.4000,6.4000,5.7000,5.8500,1862.22,1863.25,1861.34,1863.05,5.8700,5,3
20200129,09:30,AMZN,C,1902.5000,20200131,18.0800,18.0800,18.0800,18.0800,1858.92,1859.96,1858.92,1859.96,18.0800,1,1
