Date,TimeBarStart,Ticker,CallPut,Strike,ExpirationDate,OpenTradePrice,HighTradePrice,LowTradePrice,CloseTradePrice,UnderOpenBidPrice,UnderOpenAskPrice,UnderCloseBidPrice,UnderCloseAskPrice,VWAP,Volume,TotalTrades
20200129,09:30,GOOG,P,1300.0000,20210115,61.0000,61.0000,61.0000,61.0000,1455.20,1455.71,1455.20,1455.71,61.0000,3,1
20200129,09:31,GOOG,P,520.0000,20210115,0.7500,0.7500,0.7000,0.7500,1457.09,1458.00,1455.74,1457.00,0.7438,8,8
20200129,09:33,GOOG,P,520.0000,20210115,0.7500,0.7500,0.7500,0.7500,1456.08,1457.23,1456.08,1457.23,0.7500,1,1
20200129,09:33,GOOG,C,2000.0000,20210115,9.1000,9.1000,9.1000,9.1000,1456.70,1458.20,1456.70,1458.20,9.1000,1,1
20200129,09:35,GOOG,P,1700.0000,20210115,265.0000,265.0000,265.0000,265.0000,1460.06,1461.21,1460.06,1461.21,265.0000,10,1
20200129,09:37,GOOG,C,2000.0000,20210115,9.1000,9.1000,9.1000,9.1000,1461.43,1462.59,1461.43,1462.59,9.1000,1,1
20200129,09:44,GOOG,C,1460.0000,20210115,143.8100,143.8100,143.8100,143.8100,1461.36,1463.23,1461.36,1463.23,143.8100,1,1
20200129,09:46,GOOG,C,1560.0000,20210115,95.3500,95.3500,95.3500,95.3500,1459.01,1460.35,1459.01,1460.35,95.3500,1,1
20200129,09:54,GOOG,C,1460.0000,20210115,138.2800,138.2800,138.2800,138.2800,1453.62,1454.31,1453.62,1454.31,138.2800,1,1
20200129,09:54,GOOG,C,1195.0000,20210115,317.0900,317.0900,317.0900,317.0900,1454.16,1455.10,1454.16,1455.10,317.0900,1,1
20200129,09:55,GOOG,C,1460.0000,20210115,138.5400,138.5400,138.5400,138.5400,1453.71,1454.25,1453.71,1454.25,138.5400,1,1
20200129,10:00,GOOG,P,900.0000,20210115,8.4000,8.4000,8.4000,8.4000,1452.15,1452.77,1452.15,1452.77,8.4000,1,1
20200129,10:01,GOOG,P,1200.0000,20210115,38.4000,38.4000,38.4000,38.4000,1452.06,1453.00,1452.06,1453.00,38.4000,10,1
20200129,10:04,GOOG,C,1420.0000,20210115,157.5000,157.5000,157.5000,157.5000,1448.96,1450.16,1448.96,1450.16,157.5000,1,1
20200129,10:12,GOOG,P,1200.0000,20210115,39.3000,39.3000,39.3000,39.3000,1447.62,1448.37,1447.62,1448.37,39.3000,1,1
20200129,10:20,GOOG,P,1560.0000,20210115,176.1100,176.1100,176.1100,176.1100,1450.50,1451.94,1450.50,1451.94,176.1100,1,1
20200129,10:28,GOOG,P,1500.0000,20210115,143.0100,143.0100,143.0100,143.0100,1448.51,1449.44,1448.51,1449.44,143.0100,1,1
20200129,10:28,GOOG,P,1560.0000,20210115,177.1100,177.1100,177.1100,177.1100,1448.49,1449.88,1448.49,1449.88,177.1100,1,1
20200129,10:30,GOOG,C,1460.0000,20210115,133.0000,133.0000,133.0000,133.0000,1447.09,1448.14,1447.09,1448.14,133.0000,1,1
20200129,10:32,GOOG,P,1560.0000,20210115,177.6100,177.6100,177.6100,177.6100,1447.81,1448.59,1447.81,1448.59,177.6100,1,1
20200129,10:35,GOOG,P,1400.0000,20210115,96.9100,96.9100,96.9100,96.9100,1448.83,1449.68,1448.83,1449.68,96.9100,1,1
20200129,10:37,GOOG,P,1560.0000,20210115,177.5100,177.5100,177.5100,177.5100,1447.74,1448.74,1447.74,1448.74,177.5100,2,2
20200129,10:47,GOOG,P,1340.0000,20210115,74.4100,74.4100,74.4100,74.4100,1451.75,1451.93,1451.75,1451.93,74.4100,1,1
20200129,11:21,GOOG,P,1340.0000,20210115,73.2100,73.2100,73.2100,73.2100,1454.16,1454.98,1454.16,1454.98,73.2100,1,1
20200129,11:54,GOOG,C,1500.0000,20210115,120.0000,120.0000,120.0000,120.0000,1455.65,1456.19,1455.65,1456.19,120.0000,1,1
20200129,12:04,GOOG,P,1400.0000,20210115,93.3800,93.3800,93.3800,93.3800,1457.73,1458.72,1457.73,1458.72,93.3800,1,1
20200129,12:08,GOOG,C,1400.0000,20210115,175.5000,175.5000,175.5000,175.5000,1458.18,1458.55,1458.18,1458.55,175.5000,1,1
20200129,12:18,GOOG,C,1440.0000,20210115,152.6000,152.6000,152.5000,152.5000,1457.80,1459.05,1457.80,1459.05,152.5500,2,2
20200129,12:18,GOOG,C,1540.0000,20210115,103.1000,103.1000,103.1000,103.1000,1457.80,1459.05,1457.80,1459.05,103.1000,1,1
20200129,12:18,GOOG,C,1620.0000,20210115,72.5000,72.5100,72.5000,72.5100,1457.80,1459.05,1457.80,1459.05,72.5067,3,2
20200129,12:18,GOOG,C,1520.0000,20210115,112.0000,112.1100,112.0000,112.1100,1457.80,1459.05,1457.80,1459.05,112.0550,2,2
20200129,12:18,GOOG,C,1640.0000,20210115,66.0000,66.0000,66.0000,66.0000,1457.80,1459.05,1457.80,1459.05,66.0000,1,1
20200129,12:18,GOOG,C,1420.0000,20210115,163.9000,163.9000,163.9000,163.9000,1457.80,1459.05,1457.80,1459.05,163.9000,1,1
20200129,12:18,GOOG,C,1300.0000,20210115,235.5000,235.5000,235.5000,235.5000,1457.87,1459.05,1457.87,1459.05,235.5000,1,1
20200129,12:22,GOOG,C,1200.0000,20210115,317.0000,317.0000,317.0000,317.0000,1457.42,1458.71,1457.42,1458.71,317.0000,1,1
20200129,12:26,GOOG,C,1560.0000,20210115,94.0000,94.0000,94.0000,94.0000,1457.13,1457.91,1457.13,1457.91,94.0000,1,1
20200129,12:48,GOOG,P,880.0000,20210115,7.3500,7.3500,7.3500,7.3500,1457.59,1458.35,1457.59,1458.35,7.3500,10,3
20200129,13:01,GOOG,C,2000.0000,20210115,9.5000,9.5000,9.5000,9.5000,1457.47,1458.07,1457.47,1458.07,9.5000,1,1
20200129,13:10,GOOG,P,1290.0000,20210115,58.1000,58.1000,58.1000,58.1000,1457.38,1458.78,1457.38,1458.78,58.1000,1,1
20200129,13:14,GOOG,P,1220.0000,20210115,41.7100,41.7100,41.7100,41.7100,1459.24,1459.97,1459.24,1459.97,41.7100,1,1
20200129,13:32,GOOG,C,1480.0000,20210115,132.0000,132.0000,132.0000,132.0000,1461.34,1462.33,1461.34,1462.33,132.0000,1,1
20200129,13:50,GOOG,P,1200.0000,20210115,37.4000,37.4000,37.4000,37.4000,1461.97,1462.41,1461.97,1462.41,37.4000,1,1
20200129,13:51,GOOG,P,1200.0000,20210115,36.6000,36.6000,36.6000,36.6000,1461.97,1463.05,1461.97,1463.05,36.6000,2,1
20200129,13:52,GOOG,C,1700.0000,20210115,50.0000,50.0000,50.0000,50.0000,1461.55,1463.13,1461.55,1463.13,50.0000,1,1
20200129,13:56,GOOG,P,1300.0000,20210115,59.8100,59.8100,59.8100,59.8100,1461.28,1462.79,1461.28,1462.79,59.8100,1,1
20200129,14:05,GOOG,P,1180.0000,20210115,33.9100,33.9100,33.9100,33.9100,1464.00,1464.64,1464.00,1464.64,33.9100,1,1
20200129,14:05,GOOG,P,1300.0000,20210115,59.5100,59.5100,59.5100,59.5100,1464.00,1464.64,1464.00,1464.64,59.5100,1,1
20200129,14:05,GOOG,P,1185.0000,20210115,34.3000,34.3000,34.3000,34.3000,1463.40,1464.53,1463.40,1464.53,34.3000,1,1
20200129,14:05,GOOG,P,1100.0000,20210115,22.8000,22.8000,22.8000,22.8000,1464.00,1464.64,1464.00,1464.64,22.8000,1,1
20200129,14:05,GOOG,P,1120.0000,20210115,25.2000,25.2000,25.2000,25.2000,1464.00,1464.64,1464.00,1464.64,25.2000,1,1
20200129,14:05,GOOG,P,1170.0000,20210115,32.0000,32.0000,32.0000,32.0000,1463.38,1464.53,1463.38,1464.53,32.0000,1,1
