Date,TimeBarStart,Ticker,CallPut,Strike,ExpirationDate,OpenTradePrice,HighTradePrice,LowTradePrice,CloseTradePrice,UnderOpenBidPrice,UnderOpenAskPrice,UnderCloseBidPrice,UnderCloseAskPrice,VWAP,Volume,TotalTrades
20200129,09:44,GOOG,C,1540.0000,20200918,75.2000,75.2000,75.2000,75.2000,1461.32,1462.61,1461.32,1462.61,75.2000,1,1
20200129,09:47,GOOG,C,1180.0000,20200918,313.1000,313.1000,313.1000,313.1000,1458.36,1459.15,1458.36,1459.15,313.1000,1,1
20200129,09:47,GOOG,C,1140.0000,20200918,348.2000,348.2000,348.2000,348.2000,1458.36,1459.15,1458.36,1459.15,348.2000,1,1
20200129,09:47,GOOG,C,980.0000,20200918,496.5000,496.5000,496.5000,496.5000,1457.97,1459.15,1457.97,1459.15,496.5000,12,1
20200129,09:47,GOOG,C,1200.0000,20200918,295.9000,295.9000,295.9000,295.9000,1458.36,1459.15,1458.36,1459.15,295.9000,1,1
20200129,09:50,GOOG,C,1740.0000,20200918,19.2000,19.2000,19.2000,19.2000,1454.10,1455.29,1454.72,1455.29,19.2000,52,6
20200129,09:51,GOOG,P,1400.0000,20200918,72.5000,72.5000,72.5000,72.5000,1453.00,1453.60,1453.00,1453.60,72.5000,5,2
20200129,09:51,GOOG,C,1740.0000,20200918,19.1000,19.1000,19.0000,19.0000,1453.68,1454.78,1453.15,1454.70,19.0091,11,3
20200129,09:57,GOOG,C,1455.0000,20200918,110.0700,110.0700,110.0700,110.0700,1451.80,1452.58,1451.80,1452.58,110.0700,1,1
20200129,09:57,GOOG,C,1450.0000,20200918,112.7700,112.7700,112.7700,112.7700,1451.80,1452.58,1451.80,1452.58,112.7700,1,1
20200129,10:04,GOOG,P,1060.0000,20200918,10.4000,10.4000,10.4000,10.4000,1450.37,1450.97,1450.37,1450.97,10.4000,1,1
20200129,10:04,GOOG,P,1320.0000,20200918,48.5000,48.5000,48.5000,48.5000,1448.26,1450.01,1448.26,1450.01,48.5000,2,2
20200129,10:05,GOOG,C,1450.0000,20200918,111.1400,111.1400,111.1400,111.1400,1448.70,1449.52,1448.70,1449.52,111.1400,1,1
20200129,10:05,GOOG,C,1445.0000,20200918,113.8900,113.8900,113.8900,113.8900,1448.70,1449.52,1448.70,1449.52,113.8900,1,1
20200129,10:06,GOOG,P,1320.0000,20200918,48.5000,48.5000,48.5000,48.5000,1448.60,1449.99,1448.60,1449.99,48.5000,8,1
20200129,10:07,GOOG,C,1445.0000,20200918,113.0000,113.0000,113.0000,113.0000,1447.35,1448.93,1447.35,1448.93,113.0000,1,1
20200129,10:10,GOOG,P,1390.0000,20200918,70.5000,70.5000,70.5000,70.5000,1449.91,1450.98,1449.91,1450.98,70.5000,1,1
20200129,10:10,GOOG,C,1800.0000,20200918,12.0000,12.0000,12.0000,12.0000,1449.26,1450.68,1449.26,1450.68,12.0000,1,1
20200129,10:10,GOOG,C,1760.0000,20200918,16.2000,16.2000,16.2000,16.2000,1449.26,1450.68,1449.26,1450.68,16.2000,1,1
20200129,10:11,GOOG,C,1740.0000,20200918,18.7000,18.7000,18.7000,18.7000,1448.82,1449.89,1448.82,1449.89,18.7000,1,1
20200129,10:12,GOOG,C,1820.0000,20200918,10.2000,10.2000,10.2000,10.2000,1447.62,1448.34,1447.62,1448.34,10.2000,1,1
20200129,10:17,GOOG,C,1940.0000,20200918,4.5000,4.5000,4.5000,4.5000,1450.93,1451.66,1450.93,1451.66,4.5000,2,2
