Date,TimeBarStart,Ticker,CallPut,Strike,ExpirationDate,OpenTradePrice,HighTradePrice,LowTradePrice,CloseTradePrice,UnderOpenBidPrice,UnderOpenAskPrice,UnderCloseBidPrice,UnderCloseAskPrice,VWAP,Volume,TotalTrades
20200129,09:30,GOOG,P,1467.5000,20200131,16.5000,16.5000,16.5000,16.5000,1456.40,1456.56,1456.40,1456.56,16.5000,1,1
20200129,09:30,GOOG,P,1410.0000,20200131,0.9000,0.9000,0.9000,0.9000,1456.01,1457.82,1456.01,1457.82,0.9000,1,1
20200129,09:30,GOOG,P,1420.0000,20200131,0.5000,0.5000,0.5000,0.5000,1459.34,1460.00,1459.34,1460.00,0.5000,1,1
20200129,09:30,GOOG,P,1417.5000,20200131,1.3500,1.3500,1.0800,1.0800,1459.28,1460.00,1457.70,1459.93,1.2150,2,2
20200129,09:30,GOOG,P,1455.0000,20200131,9.5100,9.5700,9.5100,9.5700,1456.54,1457.98,1456.54,1457.98,9.5400,4,3
20200129,09:30,GOOG,P,1407.5000,20200131,0.7500,0.7500,0.7500,0.7500,1456.01,1457.82,1456.01,1457.82,0.7500,1,1
20200129,09:30,GOOG,P,1390.0000,20200131,0.4000,0.4000,0.4000,0.4000,1459.32,1460.00,1459.32,1460.00,0.4000,1,1
20200129,09:30,GOOG,P,1460.0000,20200131,8.4000,8.4000,8.4000,8.4000,1459.28,1460.00,1459.28,1460.00,8.4000,2,2
20200129,09:30,GOOG,P,1435.0000,20200131,3.5000,3.5000,3.5000,3.5000,1456.54,1458.00,1456.54,1458.00,3.5000,1,1
20200129,09:30,GOOG,C,1452.5000,20200131,13.3500,13.3500,13.3500,13.3500,1455.61,1458.06,1455.61,1458.06,13.3500,1,1
20200129,09:30,GOOG,C,1470.0000,20200131,3.3000,3.3000,3.3000,3.3000,1457.70,1460.00,1457.70,1460.00,3.3000,1,1
20200129,09:30,GOOG,C,1442.5000,20200131,19.5000,19.5000,19.5000,19.5000,1456.00,1457.50,1456.00,1457.50,19.5000,1,1
20200129,09:30,GOOG,C,1400.0000,20200131,59.8000,59.8000,59.8000,59.8000,1457.70,1460.00,1457.70,1460.00,59.8000,1,1
20200129,09:30,GOOG,C,1500.0000,20200131,0.9500,0.9500,0.8500,0.8500,1459.34,1459.99,1457.70,1459.99,0.8625,8,2
20200129,09:30,GOOG,C,1462.5000,20200131,8.0000,8.0000,8.0000,8.0000,1456.40,1456.79,1456.40,1456.79,8.0000,5,1
20200129,09:30,GOOG,C,1460.0000,20200131,9.3000,9.3000,8.0000,8.5200,1457.00,1457.70,1454.57,1455.54,8.6550,4,4
20200129,09:30,GOOG,C,1475.0000,20200131,3.7600,3.7600,3.7600,3.7600,1456.05,1457.81,1456.05,1457.81,3.7600,3,1
20200129,09:30,GOOG,C,1490.0000,20200131,1.7500,1.7500,1.7000,1.7000,1459.34,1459.99,1459.28,1459.30,1.7167,3,2
20200129,09:30,GOOG,C,1465.0000,20200131,9.0000,9.0000,7.6900,7.6900,1459.34,1459.99,1457.94,1460.00,8.3450,2,2
20200129,09:30,GOOG,C,1450.0000,20200131,16.0000,16.0000,15.3900,15.3900,1459.34,1459.99,1457.94,1460.00,15.6950,2,2
20200129,09:30,GOOG,C,1480.0000,20200131,2.9400,3.0100,2.9400,3.0100,1457.70,1459.93,1457.14,1458.00,2.9517,6,3
20200129,09:30,GOOG,C,1467.5000,20200131,6.6000,6.6000,6.6000,6.6000,1459.34,1459.99,1459.34,1459.99,6.6000,1,1
20200129,09:30,GOOG,C,1455.0000,20200131,11.1000,12.0500,10.5000,12.0500,1455.40,1456.46,1457.14,1457.99,11.1625,4,4
20200129,09:30,GOOG,C,1477.5000,20200131,3.4000,3.4000,3.4000,3.4000,1455.40,1456.36,1455.40,1456.36,3.4000,2,1
20200129,09:31,GOOG,P,1420.0000,20200131,1.7000,1.7000,1.7000,1.7000,1455.86,1456.72,1455.86,1456.72,1.7000,1,1
20200129,09:31,GOOG,P,1455.0000,20200131,9.8700,9.8700,9.8700,9.8700,1455.74,1457.00,1455.74,1457.00,9.8700,5,2
20200129,09:31,GOOG,P,1447.5000,20200131,7.2000,7.2000,7.2000,7.2000,1455.07,1456.06,1455.07,1455.70,7.2000,5,5
20200129,09:31,GOOG,C,1470.0000,20200131,5.2000,5.2000,5.2000,5.2000,1455.07,1456.06,1455.07,1456.06,5.2000,2,2
20200129,09:31,GOOG,C,1440.0000,20200131,21.5000,21.5000,21.5000,21.5000,1455.07,1457.00,1455.07,1457.00,21.5000,2,1
20200129,09:31,GOOG,C,1462.5000,20200131,8.3000,8.3000,8.3000,8.3000,1456.37,1457.00,1456.37,1457.00,8.3000,1,1
20200129,09:31,GOOG,C,1460.0000,20200131,9.4000,9.4000,8.8700,9.1000,1456.00,1457.00,1455.72,1456.97,9.2348,25,10
20200129,09:31,GOOG,C,1385.0000,20200131,73.0000,73.0000,73.0000,73.0000,1457.06,1457.88,1457.06,1457.88,73.0000,1,1
20200129,09:31,GOOG,C,1457.5000,20200131,10.3300,10.3300,10.3300,10.3300,1455.71,1456.97,1455.71,1456.97,10.3300,2,1
20200129,09:31,GOOG,C,1435.0000,20200131,25.2000,25.2000,25.2000,25.2000,1455.74,1457.00,1455.74,1457.00,25.2000,2,1
