Date,TimeBarStart,Ticker,CallPut,Strike,ExpirationDate,OpenTradePrice,HighTradePrice,LowTradePrice,CloseTradePrice,UnderOpenBidPrice,UnderOpenAskPrice,UnderCloseBidPrice,UnderCloseAskPrice,VWAP,Volume,TotalTrades
20200129,09:32,GOOG,C,1620.0000,20200619,25.0000,25.0000,25.0000,25.0000,1455.07,1455.70,1455.07,1455.70,25.0000,10,2
20200129,09:36,GOOG,C,1460.0000,20200619,88.0000,88.0000,88.0000,88.0000,1462.92,1463.50,1462.92,1463.50,88.0000,1,1
20200129,09:50,GOOG,C,1460.0000,20200619,82.8100,82.8100,82.8100,82.8100,1454.00,1455.30,1454.00,1455.30,82.8100,10,1
20200129,09:51,GOOG,C,1460.0000,20200619,83.6000,83.6000,83.6000,83.6000,1454.50,1455.25,1454.50,1455.25,83.6000,10,3
20200129,09:56,GOOG,C,1440.0000,20200619,93.0000,93.0000,93.0000,93.0000,1453.00,1453.60,1453.00,1453.60,93.0000,1,1
20200129,09:57,GOOG,C,1460.0000,20200619,81.5000,81.5000,81.5000,81.5000,1450.91,1452.20,1451.37,1452.17,81.5000,2,2
20200129,10:02,GOOG,C,1480.0000,20200619,71.4000,71.4000,71.4000,71.4000,1450.36,1451.01,1450.36,1451.01,71.4000,1,1
20200129,10:09,GOOG,C,1500.0000,20200619,62.1000,62.1000,62.1000,62.1000,1449.51,1450.23,1449.51,1450.23,62.1000,1,1
20200129,10:10,GOOG,C,1500.0000,20200619,62.2000,62.2000,62.2000,62.2000,1449.64,1450.85,1449.64,1450.85,62.2000,1,1
20200129,10:12,GOOG,C,1480.0000,20200619,70.2000,70.2000,70.2000,70.2000,1447.64,1448.71,1447.64,1448.71,70.2000,10,1
20200129,10:12,GOOG,C,1720.0000,20200619,9.0400,9.0400,9.0400,9.0400,1447.64,1448.71,1447.64,1448.71,9.0400,1,1
20200129,10:16,GOOG,C,1500.0000,20200619,62.7000,62.7000,62.7000,62.7000,1450.77,1451.93,1450.77,1451.93,62.7000,1,1
20200129,10:18,GOOG,P,1460.0000,20200619,80.9000,80.9000,80.9000,80.9000,1450.56,1451.03,1450.56,1451.03,80.9000,1,1
20200129,10:29,GOOG,P,1460.0000,20200619,81.7000,81.7000,81.7000,81.7000,1448.46,1449.43,1448.46,1449.43,81.7000,1,1
20200129,10:30,GOOG,C,1680.0000,20200619,13.3900,13.3900,13.3900,13.3900,1448.00,1448.58,1448.00,1448.58,13.3900,1,1
20200129,10:43,GOOG,P,1080.0000,20200619,5.9000,5.9000,5.9000,5.9000,1451.13,1451.93,1451.13,1451.93,5.9000,1,1
20200129,10:49,GOOG,C,1480.0000,20200619,71.9000,71.9000,71.9000,71.9000,1450.55,1451.22,1450.55,1451.22,71.9000,1,1
20200129,11:03,GOOG,P,1350.0000,20200619,38.0000,38.0700,38.0000,38.0700,1454.02,1455.00,1454.02,1455.00,38.0350,2,2
20200129,11:06,GOOG,C,1500.0000,20200619,62.9000,62.9000,62.9000,62.9000,1453.69,1454.75,1453.69,1454.75,62.9000,1,1
20200129,11:16,GOOG,C,1440.0000,20200619,94.7000,94.7000,94.7000,94.7000,1454.76,1455.54,1454.76,1455.54,94.7000,1,1
20200129,11:23,GOOG,P,1250.0000,20200619,18.1000,18.1000,18.1000,18.1000,1454.25,1454.90,1454.25,1454.90,18.1000,1,1
20200129,11:35,GOOG,P,1380.0000,20200619,46.0000,46.0000,46.0000,46.0000,1455.20,1456.12,1455.20,1456.12,46.0000,1,1
20200129,11:40,GOOG,C,1520.0000,20200619,55.5000,55.5000,55.5000,55.5000,1454.75,1455.58,1454.75,1455.58,55.5000,1,1
20200129,11:42,GOOG,C,1720.0000,20200619,9.6100,9.6100,9.6100,9.6100,1454.37,1455.17,1454.37,1455.17,9.6100,1,1
20200129,11:43,GOOG,P,1100.0000,20200619,6.5000,6.5000,6.5000,6.5000,1454.38,1455.84,1454.38,1455.97,6.5000,15,4
20200129,11:49,GOOG,C,1440.0000,20200619,95.4000,95.4000,95.4000,95.4000,1456.01,1456.50,1456.01,1456.50,95.4000,1,1
20200129,11:50,GOOG,C,1460.0000,20200619,84.1000,84.1000,84.1000,84.1000,1455.53,1456.56,1455.53,1456.56,84.1000,1,1
20200129,11:59,GOOG,C,1600.0000,20200619,29.8500,29.8500,29.8500,29.8500,1456.82,1457.47,1456.82,1457.47,29.8500,1,1
20200129,11:59,GOOG,C,1540.0000,20200619,48.5500,48.5500,48.5500,48.5500,1456.82,1457.47,1456.82,1457.47,48.5500,1,1
20200129,11:59,GOOG,C,1520.0000,20200619,56.4900,56.4900,56.4900,56.4900,1456.82,1457.47,1456.82,1457.47,56.4900,1,1
20200129,11:59,GOOG,C,1580.0000,20200619,35.4500,35.4500,35.4500,35.4500,1456.82,1457.47,1456.82,1457.47,35.4500,1,1
20200129,12:02,GOOG,C,1640.0000,20200619,21.0000,21.0000,21.0000,21.0000,1457.49,1458.11,1457.49,1458.11,21.0000,1,1
20200129,12:02,GOOG,C,1460.0000,20200619,85.0000,85.0000,85.0000,85.0000,1457.37,1458.56,1457.37,1458.56,85.0000,1,1
20200129,12:08,GOOG,P,1000.0000,20200619,3.9000,3.9000,3.9000,3.9000,1458.19,1458.93,1458.19,1458.93,3.9000,1,1
20200129,12:12,GOOG,C,1350.0000,20200619,155.7000,155.7000,155.7000,155.7000,1458.35,1459.20,1458.35,1459.20,155.7000,2,1
20200129,12:13,GOOG,C,1740.0000,20200619,8.3000,8.3000,8.3000,8.3000,1458.11,1458.83,1458.11,1458.83,8.3000,11,5
20200129,12:19,GOOG,P,1100.0000,20200619,6.4000,6.4000,6.4000,6.4000,1457.88,1458.41,1457.88,1458.41,6.4000,1,1
20200129,12:29,GOOG,P,1400.0000,20200619,52.5600,52.5600,52.4600,52.4600,1457.34,1458.05,1457.34,1458.05,52.5100,3,3
20200129,12:35,GOOG,C,1460.0000,20200619,85.2000,85.2000,85.2000,85.2000,1457.57,1458.28,1457.57,1458.28,85.2000,10,8
20200129,12:35,GOOG,C,1500.0000,20200619,65.5000,65.5000,65.5000,65.5000,1457.57,1458.28,1457.57,1458.28,65.5000,1,1
20200129,12:46,GOOG,C,1500.0000,20200619,65.0800,65.0800,65.0800,65.0800,1457.00,1457.81,1457.00,1457.81,65.0800,1,1
20200129,12:48,GOOG,P,1400.0000,20200619,52.5000,52.5000,52.5000,52.5000,1457.59,1458.49,1457.59,1458.49,52.5000,5,1
20200129,12:58,GOOG,C,1720.0000,20200619,9.9000,9.9000,9.9000,9.9000,1457.57,1458.44,1457.57,1458.44,9.9000,15,2
20200129,13:08,GOOG,P,1340.0000,20200619,34.5000,34.5000,34.5000,34.5000,1457.93,1458.57,1457.93,1458.57,34.5000,1,1
20200129,13:14,GOOG,C,1440.0000,20200619,97.0000,97.0000,97.0000,97.0000,1459.53,1460.30,1459.53,1460.30,97.0000,1,1
20200129,13:14,GOOG,C,1640.0000,20200619,21.2500,21.2500,21.1900,21.1900,1459.54,1460.29,1459.54,1460.29,21.2000,7,3
20200129,13:16,GOOG,C,1480.0000,20200619,75.3100,75.3100,75.3100,75.3100,1459.59,1460.61,1459.59,1460.61,75.3100,10,1
20200129,13:18,GOOG,C,1900.0000,20200619,1.6600,1.6600,1.6600,1.6600,1459.33,1460.19,1459.33,1460.19,1.6600,1,1
20200129,13:20,GOOG,P,940.0000,20200619,2.2200,2.2200,2.2200,2.2200,1459.19,1459.52,1459.19,1459.52,2.2200,1,1
20200129,13:23,GOOG,P,1040.0000,20200619,4.4000,4.4000,4.4000,4.4000,1460.44,1460.97,1460.44,1460.97,4.4000,1,1
20200129,13:24,GOOG,C,1440.0000,20200619,97.2600,97.2600,97.2600,97.2600,1460.58,1461.27,1460.58,1461.27,97.2600,1,1
20200129,13:24,GOOG,C,1460.0000,20200619,86.1200,86.1200,86.1200,86.1200,1460.58,1461.27,1460.58,1461.27,86.1200,1,1
20200129,13:31,GOOG,C,1480.0000,20200619,75.6200,75.6200,75.6200,75.6200,1460.93,1462.55,1460.93,1462.55,75.6200,10,1
20200129,13:38,GOOG,C,1800.0000,20200619,4.7500,4.7500,4.7500,4.7500,1461.00,1461.75,1461.00,1461.75,4.7500,1,1
20200129,13:50,GOOG,P,1200.0000,20200619,11.8000,11.8000,11.8000,11.8000,1461.97,1463.48,1461.97,1463.48,11.8000,4,1
20200129,13:56,GOOG,C,1440.0000,20200619,97.5800,97.5800,97.5800,97.5800,1461.08,1462.72,1461.08,1462.72,97.5800,1,1
20200129,14:01,GOOG,C,1330.0000,20200619,171.6300,171.6300,171.6300,171.6300,1459.68,1461.60,1459.68,1461.60,171.6300,3,2
20200129,14:01,GOOG,C,1335.0000,20200619,167.8500,167.8500,167.8500,167.8500,1459.68,1461.60,1459.68,1461.60,167.8500,3,2
20200129,14:04,GOOG,C,1440.0000,20200619,99.0000,99.0000,99.0000,99.0000,1463.24,1464.00,1463.24,1464.00,99.0000,1,1
20200129,14:09,GOOG,C,1700.0000,20200619,12.4000,12.4000,12.4000,12.4000,1463.02,1464.38,1463.02,1464.38,12.4000,1,1
20200129,14:11,GOOG,C,1720.0000,20200619,10.1000,10.1000,10.1000,10.1000,1462.96,1463.84,1462.96,1463.84,10.1000,1,1
20200129,14:11,GOOG,C,1700.0000,20200619,12.3000,12.3000,12.3000,12.3000,1462.96,1463.83,1462.96,1463.83,12.3000,1,1
20200129,14:12,GOOG,C,1720.0000,20200619,10.1000,10.1000,10.1000,10.1000,1462.96,1463.48,1462.96,1463.48,10.1000,1,1
20200129,14:12,GOOG,C,1700.0000,20200619,12.3000,12.3000,12.3000,12.3000,1462.96,1463.48,1462.96,1463.48,12.3000,1,1
20200129,14:13,GOOG,C,1660.0000,20200619,18.0000,18.0000,18.0000,18.0000,1463.04,1463.76,1463.04,1463.76,18.0000,1,1
20200129,14:13,GOOG,C,1640.0000,20200619,21.7000,21.7000,21.7000,21.7000,1463.05,1463.76,1463.05,1463.76,21.7000,1,1
20200129,14:14,GOOG,C,1720.0000,20200619,10.1000,10.1000,10.1000,10.1000,1462.96,1464.14,1462.96,1464.14,10.1000,1,1
20200129,14:14,GOOG,C,1700.0000,20200619,12.3000,12.3000,12.3000,12.3000,1462.97,1463.72,1462.97,1463.72,12.3000,1,1
20200129,14:15,GOOG,P,1460.0000,20200619,74.1200,74.1200,74.1200,74.1200,1463.30,1464.22,1463.30,1464.22,74.1200,2,1
20200129,14:15,GOOG,P,1440.0000,20200619,65.2700,65.2700,65.2700,65.2700,1463.30,1464.22,1463.30,1464.22,65.2700,2,1
20200129,14:15,GOOG,C,1720.0000,20200619,10.1000,10.1000,10.1000,10.1000,1463.67,1464.22,1463.67,1464.22,10.1000,1,1
20200129,14:15,GOOG,C,1660.0000,20200619,18.0000,18.0000,18.0000,18.0000,1463.55,1464.22,1463.55,1464.22,18.0000,1,1
20200129,14:15,GOOG,C,1700.0000,20200619,12.3000,12.3000,12.3000,12.3000,1463.67,1464.22,1463.67,1464.22,12.3000,1,1
20200129,14:15,GOOG,C,1380.0000,20200619,137.1400,137.1400,137.1400,137.1400,1463.30,1464.22,1463.30,1464.22,137.1400,2,1
20200129,14:15,GOOG,C,1360.0000,20200619,151.2900,151.2900,151.2900,151.2900,1463.30,1464.22,1463.30,1464.22,151.2900,2,1
20200129,14:15,GOOG,C,1640.0000,20200619,21.7000,21.7000,21.7000,21.7000,1463.55,1464.21,1463.55,1464.21,21.7000,1,1
20200129,14:16,GOOG,C,1660.0000,20200619,18.2000,18.2000,18.2000,18.2000,1464.66,1465.00,1464.66,1465.00,18.2000,1,1
20200129,14:16,GOOG,C,1680.0000,20200619,15.1000,15.1000,15.1000,15.1000,1464.66,1465.37,1464.66,1465.37,15.1000,2,2
20200129,14:16,GOOG,C,1740.0000,20200619,8.4000,8.4000,8.4000,8.4000,1464.66,1465.37,1464.66,1465.36,8.4000,2,2
20200129,14:16,GOOG,C,1640.0000,20200619,21.9000,21.9000,21.9000,21.9000,1464.31,1465.00,1464.31,1465.00,21.9000,1,1
20200129,14:17,GOOG,C,1740.0000,20200619,8.4000,8.4000,8.4000,8.4000,1464.09,1464.85,1464.09,1464.84,8.4000,2,2
20200129,14:18,GOOG,C,1200.0000,20200619,284.5400,284.5400,284.5400,284.5400,1464.09,1464.75,1464.09,1464.75,284.5400,2,1
20200129,14:18,GOOG,C,1150.0000,20200619,329.7400,329.7400,329.7400,329.7400,1464.09,1464.75,1464.09,1464.75,329.7400,1,1
20200129,14:20,GOOG,P,1160.0000,20200619,8.6000,8.6000,8.6000,8.6000,1464.06,1464.69,1464.06,1464.69,8.6000,1,1
20200129,14:20,GOOG,P,1210.0000,20200619,12.3000,12.3000,12.3000,12.3000,1464.06,1464.69,1464.06,1464.69,12.3000,1,1
20200129,14:20,GOOG,P,1200.0000,20200619,11.4000,11.4000,11.4000,11.4000,1464.06,1464.69,1464.06,1464.69,11.4000,1,1
20200129,14:20,GOOG,C,1760.0000,20200619,6.8000,6.8000,6.8000,6.8000,1464.47,1465.75,1464.47,1465.75,6.8000,1,1
20200129,14:20,GOOG,C,1720.0000,20200619,10.1000,10.1000,10.1000,10.1000,1464.46,1465.75,1464.47,1465.75,10.1000,2,2
20200129,14:20,GOOG,C,1700.0000,20200619,12.3000,12.3000,12.3000,12.3000,1464.17,1464.69,1464.46,1465.75,12.3000,2,2
20200129,14:22,GOOG,P,1300.0000,20200619,24.4200,24.4200,24.4200,24.4200,1463.19,1464.24,1463.19,1464.24,24.4200,2,1
20200129,14:28,GOOG,C,1260.0000,20200619,230.8600,230.8600,230.8600,230.8600,1463.33,1464.36,1463.33,1464.36,230.8600,1,1
20200129,14:28,GOOG,C,1255.0000,20200619,235.1400,235.1400,235.1400,235.1400,1463.33,1464.36,1463.33,1464.36,235.1400,1,1
20200129,14:30,GOOG,C,1740.0000,20200619,8.2000,8.2000,8.2000,8.2000,1464.19,1465.20,1464.19,1465.20,8.2000,1,1
20200129,14:32,GOOG,C,1700.0000,20200619,12.5000,12.5000,12.5000,12.5000,1463.93,1464.99,1463.93,1464.99,12.5000,14,1
20200129,14:37,GOOG,P,1355.0000,20200619,36.4000,36.4000,36.4000,36.4000,1463.70,1464.75,1463.70,1464.75,36.4000,2,2
20200129,14:37,GOOG,C,1480.0000,20200619,77.5200,77.5200,77.5200,77.5200,1463.57,1464.63,1463.57,1464.63,77.5200,10,2
20200129,14:42,GOOG,C,1500.0000,20200619,67.6000,67.6000,67.6000,67.6000,1463.96,1464.86,1463.96,1464.86,67.6000,1,1
20200129,14:54,GOOG,P,1335.0000,20200619,31.8700,31.8700,31.8700,31.8700,1462.54,1463.25,1462.54,1463.25,31.8700,1,1
20200129,14:54,GOOG,P,1340.0000,20200619,33.0200,33.0200,33.0200,33.0200,1462.54,1463.25,1462.54,1463.25,33.0200,1,1
20200129,14:57,GOOG,C,1540.0000,20200619,50.0000,50.0000,50.0000,50.0000,1462.55,1463.65,1462.55,1463.65,50.0000,1,1
20200129,14:59,GOOG,P,1310.0000,20200619,26.7100,26.7100,26.7100,26.7100,1462.01,1462.84,1462.01,1462.84,26.7100,1,1
20200129,15:03,GOOG,P,1350.0000,20200619,36.1000,36.1000,36.1000,36.1000,1459.42,1460.33,1459.42,1460.33,36.1000,1,1
20200129,15:14,GOOG,C,1500.0000,20200619,65.2000,65.2000,65.2000,65.2000,1457.91,1459.17,1457.91,1459.17,65.2000,1,1
20200129,15:20,GOOG,P,1000.0000,20200619,3.2700,3.2700,3.2700,3.2700,1459.46,1460.55,1459.46,1460.55,3.2700,1,1
20200129,15:23,GOOG,C,1700.0000,20200619,11.7000,11.7000,11.7000,11.7000,1457.83,1458.58,1457.83,1458.58,11.7000,2,1
20200129,15:29,GOOG,P,1100.0000,20200619,5.9000,5.9000,5.9000,5.9000,1460.75,1461.53,1460.75,1461.53,5.9000,2,2
20200129,15:36,GOOG,P,1305.0000,20200619,25.5000,25.5000,25.5000,25.5000,1461.89,1462.52,1461.89,1462.52,25.5000,1,1
20200129,15:48,GOOG,P,900.0000,20200619,1.7000,1.7000,1.7000,1.7000,1460.70,1461.80,1460.70,1461.80,1.7000,1,1
20200129,15:51,GOOG,C,1640.0000,20200619,21.7000,21.7000,21.7000,21.7000,1460.24,1460.83,1460.24,1460.83,21.7000,5,1
20200129,15:52,GOOG,P,880.0000,20200619,1.4500,1.4500,1.4500,1.4500,1460.73,1461.41,1460.73,1461.41,1.4500,1,1
